;NU_ANO;NU_MES;CO_IBGE;NO_ENTE;SG_UF;CO_COMP_MASSA;CO_TIPO_FUNDO;CNPJ_ORGAO;NO_ORGAO;CO_PODER;CO_TIPO_PODER;ID_SEGURADO_MATRICULA;ID_SEGURADO_CPF;ID_SEGURADO_PIS_PASEP;CO_SEXO_SEGURADO;ID_DEPENDENTE;ID_DEPENDENTE_CPF;DT_NASC_DEPENDENTE;CO_SEXO_DEPENDENTE;CO_CONDICAO_DEPENDENTE;CO_TIPO_DEPENDECIA;idades_dependentes
0;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;ativos_1;1;1;2;dep_1;13464;1993-12-08;1;1;1;28
1;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;ativos_2;2;2;2;dep_2;13465;1990-12-09;1;1;1;31
2;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;ativos_3;3;3;1;dep_3;13466;1984-12-10;1;1;1;37
3;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;ativos_4;4;4;1;dep_4;13467;1984-12-10;2;1;1;37
4;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;ativos_5;5;5;1;dep_5;13468;1985-12-10;2;1;1;36
5;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;ativos_6;6;6;1;dep_6;13469;1982-12-11;2;1;1;39
6;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;ativos_7;7;7;2;dep_7;13470;1993-12-08;2;1;1;28
7;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;ativos_8;8;8;1;dep_8;13471;1989-12-09;2;1;1;32
8;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;ativos_9;9;9;2;dep_9;13472;1996-12-07;1;1;1;25
9;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;ativos_10;10;10;1;dep_10;13473;1981-12-11;2;1;1;40
10;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;ativos_11;11;11;2;dep_11;13474;1983-12-11;2;1;1;38
11;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;ativos_12;12;12;1;dep_12;13475;1977-12-12;2;1;1;44
12;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;ativos_13;13;13;1;dep_13;13476;1968-12-14;1;1;1;53
13;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;ativos_14;14;14;1;dep_14;13477;1979-12-12;2;1;1;42
14;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;ativos_15;15;15;2;dep_15;13478;1996-12-07;2;1;1;25
15;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;ativos_16;16;16;2;dep_16;13479;2003-12-06;1;1;1;18
16;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;ativos_17;17;17;1;dep_17;13480;1984-12-10;2;2;1;37
17;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;ativos_18;18;18;2;dep_18;13481;1998-12-07;1;1;1;23
18;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;ativos_19;19;19;1;dep_19;13482;1987-12-10;1;1;1;34
19;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;ativos_20;20;20;1;dep_20;13483;1987-12-10;2;1;1;34
20;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;ativos_21;21;21;1;dep_21;13484;1986-12-10;1;1;1;35
21;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;ativos_22;22;22;1;dep_22;13485;1991-12-09;2;1;1;30
22;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;ativos_23;23;23;2;dep_23;13486;1996-12-07;2;1;1;25
23;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;ativos_24;24;24;1;dep_24;13487;1991-12-09;1;1;1;30
24;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;ativos_25;25;25;2;dep_25;13488;1998-12-07;1;1;1;23
25;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;ativos_26;26;26;2;dep_26;13489;1995-12-08;2;1;1;26
26;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;ativos_27;27;27;1;dep_27;13490;1982-12-11;2;1;1;39
27;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;ativos_28;28;28;2;dep_28;13491;1995-12-08;2;1;1;26
28;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;ativos_29;29;29;2;dep_29;13492;1992-12-08;1;1;1;29
29;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;ativos_30;30;30;1;dep_30;13493;1988-12-09;2;1;1;33
30;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;ativos_31;31;31;1;dep_31;13494;1974-12-13;1;1;1;47
31;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;ativos_32;32;32;1;dep_32;13495;1987-12-10;2;1;1;34
32;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;ativos_33;33;33;1;dep_33;13496;1986-12-10;2;1;1;35
33;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;ativos_34;34;34;1;dep_34;13497;1979-12-12;2;1;1;42
34;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;ativos_35;35;35;1;dep_35;13498;1988-12-09;1;1;1;33
35;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;ativos_36;36;36;1;dep_36;13499;1977-12-12;2;1;1;44
36;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;ativos_37;37;37;1;dep_37;13500;1988-12-09;2;1;1;33
37;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;ativos_38;38;38;2;dep_38;13501;1994-12-08;1;1;1;27
38;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;ativos_39;39;39;2;dep_39;13502;1997-12-07;2;1;1;24
